_id,brand,website_id,price_offer_price,price_regular_price,price_basket_price,5da94f4e6d97010001f81d72,5da94f270ffeca000172b12e,5d0cc7b68a66a100014acdb0,5da94ef80ffeca000172b12c,5da94e940ffeca000172b12a
5da821eb7f3e301b4504bafc,chloé,5da6d40110309200045874e6,2270.0,2270.0,2270.0,,,1137.0,,1362.0
5da821506504fb65da004b72,chloé,5da6d40110309200045874e6,1795.0,1795.0,1795.0,,,,,1256.0
5da81eeb7861c2af6a5a91f0,chloé,5da6d40110309200045874e6,507.0,845.0,507.0,,,473.0,512.0,591.0
5da81a746504fb65cb261633,chloé,5da6d40110309200045874e6,486.0,486.0,486.0,,,,,567.0
5da821216504fb65da00482b,chloé,5da6d40110309200045874e6,678.0,1130.0,678.0,,795.0,,796.0,
5db810cad5424ee1f3352abc,chloé,5da6d40110309200045874e6,507.0,845.0,507.0,,,,596.0,591.0
5da81d657f3e301b4504b6db,chloé,5da6d40110309200045874e6,450.0,750.0,450.0,,,722.0,,
5da81efa7861c2af6a5a92ab,chloé,5da6d40110309200045874e6,678.0,1130.0,678.0,,,,796.0,
5da821a4b25b035d1d17b94f,chloé,5da6d40110309200045874e6,766.5,766.5,766.5,,,625.0,1090.0,
5da81f5d7861c2af6a5a9673,chloé,5da6d40110309200045874e6,715.0,715.0,715.0,,,1571.0,,
5da82221b25b035d1d17c029,chloé,5da6d40110309200045874e6,678.0,1130.0,678.0,,,630.0,,791.0
5da820f67861c2af6a5a97c1,chloé,5da6d40110309200045874e6,338.0,845.0,338.0,,,600.0,,
5da821dfb25b035d1d17bca2,chloé,5da6d40110309200045874e6,1020.0,1700.0,1020.0,,,,1705.0,
5da81f696504fb65d41c5803,francesco russo,5da6d40110309200045874e6,455.0,910.0,455.0,,,597.0,,
5da821d3b25b035d1d17bc00,francesco russo,5da6d40110309200045874e6,365.0,730.0,365.0,,,383.0,,
5da821f66504fb65da0056e8,francesco russo,5da6d40110309200045874e6,530.0,530.0,530.0,,,,163.0,
5da8216bb25b035d1d17b5a2,attico,5da6d40110309200045874e6,242.5,485.0,242.5,,,817.0,,
5da81eeb7861c2af6a5a91c2,attico,5da6d40110309200045874e6,300.0,600.0,300.0,,,310.0,,
5da8206e7d3a9baa211f852b,attico,5da6d40110309200045874e6,420.0,600.0,420.0,,,509.0,,
5da821426504fb65da004a57,attico,5da6d40110309200045874e6,472.5,675.0,472.5,,,,684.0,475.0
5db81088d5424ee1f33529dd,ganni,5da6d40110309200045874e6,120.0,120.0,125.0,,,109.0,,
5db81048d5424ee1f335283f,ganni,5da6d40110309200045874e6,120.0,120.0,125.0,,,110.0,,
5da81fa5465e00845f490bec,ganni,5da6d40110309200045874e6,90.0,90.0,95.0,,,100.0,,
5db8104ad5424ee1f3352894,ganni,5da6d40110309200045874e6,75.0,75.0,80.0,,,96.0,,
5db81043d5424ee1f335276a,ganni,5da6d40110309200045874e6,75.0,75.0,80.0,,,96.0,,
5da81a487d3a9baa211f7ee3,rosantica,5da6d40110309200045874e6,855.0,855.0,855.0,,,1547.0,,
5da821be6504fb65da00547c,attico,5da6d40110309200045874e6,740.0,1480.0,740.0,,,763.0,891.0,
5da8214eb25b035d1d17b3e3,attico,5da6d40110309200045874e6,575.0,1150.0,575.0,,,,464.0,
5da821eb7f3e301b4504bb41,attico,5da6d40110309200045874e6,422.0,1055.0,422.0,940.0,,,532.0,
5da821c36504fb65da00549f,attico,5da6d40110309200045874e6,798.0,1140.0,798.0,,,1093.0,,796.0
5da821346504fb65da004949,attico,5da6d40110309200045874e6,207.5,415.0,207.5,,,330.0,,
5da821ce6504fb65da0055dd,attico,5da6d40110309200045874e6,413.0,413.0,413.0,635.0,,335.0,299.0,352.0
5da821d9b25b035d1d17bc2c,attico,5da6d40110309200045874e6,3145.0,3145.0,3145.0,,,2459.0,,
5da821c76504fb65da00553b,a.w.a.k.e. mode,5da6d40110309200045874e6,339.5,485.0,339.5,,,,490.0,
5da820d86504fb65da0041ef,a.w.a.k.e. mode,5da6d40110309200045874e6,187.5,375.0,192.5,,,252.0,,
5da81ad07d3a9baa211f7fd1,peter pilotto,5da6d40110309200045874e6,497.5,995.0,497.5,1000.0,,,,
5da82189b25b035d1d17b7c3,redemption,5da6d40110309200045874e6,1445.0,1445.0,1445.0,,,1109.0,,
5da820b16504fb65da0040cf,redemption,5da6d40110309200045874e6,935.0,935.0,935.0,,,901.0,,
5da820826504fb65da003c06,saloni,5da6d40110309200045874e6,360.0,1200.0,360.0,,,,605.0,
5da8207d6504fb65da003b9f,saloni,5da6d40110309200045874e6,241.5,345.0,241.5,,,,350.0,
5da821ce6504fb65da0055be,saloni,5da6d40110309200045874e6,725.0,725.0,725.0,,,,440.0,
5da821aab25b035d1d17b98e,saloni,5da6d40110309200045874e6,417.0,695.0,417.0,,,1165.0,352.0,
5da820116504fb65cea7029a,saloni,5da6d40110309200045874e6,232.5,775.0,232.5,,,,470.0,
5da823b76504fb65cb261a79,saloni,5da6d40110309200045874e6,385.0,385.0,385.0,,,834.0,,
5da821aab25b035d1d17b9b1,saloni,5da6d40110309200045874e6,270.0,450.0,270.0,,,565.0,320.0,
5da81b60b25b035d1d17a747,golden goose,5da6d40110309200045874e6,234.5,234.5,234.5,,350.0,361.0,340.0,
5da81d566504fb65cb261850,golden goose,5da6d40110309200045874e6,231.0,231.0,231.0,,400.0,390.0,390.0,
5da81abeb25b035d1d17a4b6,golden goose,5da6d40110309200045874e6,203.0,203.0,203.0,,,,295.0,
5da8204d6504fb65da003970,golden goose,5da6d40110309200045874e6,241.5,241.5,241.5,,360.0,,,
5da81c30b25b035d1d17aa13,hunza g,5da6d40110309200045874e6,98.0,140.0,103.0,145.0,,,,
5da81d436504fb65d41c56e3,patbo,5da6d40110309200045874e6,288.0,576.0,288.0,,,869.0,,
5da81cb77861c2af6a5a879e,cult gaia,5da6d40110309200045874e6,384.0,640.0,384.0,,,,,414.0
5da821506504fb65da004b75,molly goddard,5da6d40110309200045874e6,260.0,650.0,260.0,,281.0,342.0,,
5da82200b25b035d1d17bea5,molly goddard,5da6d40110309200045874e6,400.0,800.0,400.0,,391.0,,,
5da821c2b25b035d1d17bac2,molly goddard,5da6d40110309200045874e6,390.0,650.0,390.0,,,473.0,395.0,
5da822126504fb65da0059c4,molly goddard,5da6d40110309200045874e6,246.0,246.0,246.0,,,333.0,,
5da81f0b7861c2af6a5a9333,molly goddard,5da6d40110309200045874e6,1000.0,1000.0,1000.0,,,731.0,605.0,
5da81f3c7861c2af6a5a957a,petar petrov,5da6d40110309200045874e6,259.5,865.0,259.5,,,,351.0,
5da821a4b25b035d1d17b955,petar petrov,5da6d40110309200045874e6,650.0,1300.0,650.0,,,,782.0,
5da8202c6504fb65cb26197d,petar petrov,5da6d40110309200045874e6,507.0,845.0,507.0,,,,596.0,590.0
5da8209f6504fb65da003ef6,petar petrov,5da6d40110309200045874e6,238.0,595.0,238.0,,,922.0,,
5da81f457861c2af6a5a9597,petar petrov,5da6d40110309200045874e6,190.0,475.0,195.0,,,,293.0,
5da821fa6504fb65da005794,petar petrov,5da6d40110309200045874e6,320.0,800.0,320.0,,,,405.0,
5da821d9b25b035d1d17bc50,petar petrov,5da6d40110309200045874e6,213.0,213.0,213.0,,,,431.0,
5da81c46465e00845f490b2c,prada,5da6d40110309200045874e6,1030.0,1030.0,1030.0,,,943.0,,
5da81d1a7861c2af6a5a8b65,prada,5da6d40110309200045874e6,890.0,890.0,890.0,,,960.0,895.0,890.0
5da821d3b25b035d1d17bbb6,prada,5da6d40110309200045874e6,740.0,740.0,740.0,,755.0,745.0,,740.0
5db81110d5424ee1f3352d50,prada,5da6d40110309200045874e6,515.0,515.0,515.0,,,,,515.0
5da820ad6504fb65da004057,prada,5da6d40110309200045874e6,890.0,890.0,890.0,,,895.0,,890.0
5da8217db25b035d1d17b6d2,miu miu,5da6d40110309200045874e6,740.0,740.0,740.0,,,766.0,,740.0
5db811dcd5424ee1f335331c,miu miu,5da6d40110309200045874e6,645.0,645.0,645.0,,,650.0,,
5da81ba97d3a9baa211f82a6,miu miu,5da6d40110309200045874e6,605.0,605.0,605.0,,620.0,655.0,,605.0
5da81dff6504fb65c4de3f44,miu miu,5da6d40110309200045874e6,550.0,550.0,550.0,,565.0,555.0,,550.0
5da81d517f3e301b4504b633,miu miu,5da6d40110309200045874e6,645.0,645.0,645.0,,,650.0,,
5da81f0b7861c2af6a5a932d,miu miu,5da6d40110309200045874e6,370.0,370.0,370.0,,,375.0,,
5da82248465e00845f490cd9,dodo bar or,5da6d40110309200045874e6,432.0,1080.0,432.0,,,,339.0,
5da821d3b25b035d1d17bbc9,dodo bar or,5da6d40110309200045874e6,290.0,725.0,290.0,,,692.0,,512.0
5da8219e6504fb65da005135,dodo bar or,5da6d40110309200045874e6,384.0,640.0,384.0,,,,,490.0
5da822256504fb65da005b8c,dodo bar or,5da6d40110309200045874e6,920.0,920.0,920.0,,,,670.0,706.0
5da8202e6504fb65da003806,dodo bar or,5da6d40110309200045874e6,204.0,510.0,204.0,,,381.0,,335.0
5da820db6504fb65da004255,dodo bar or,5da6d40110309200045874e6,410.0,820.0,410.0,,,,,538.0
5da82221b25b035d1d17c064,dodo bar or,5da6d40110309200045874e6,150.0,250.0,155.0,,,190.0,134.0,
5da82189b25b035d1d17b78f,dodo bar or,5da6d40110309200045874e6,262.5,375.0,262.5,,,,199.0,
5da81d6c7f3e301b4504b775,r13,5da6d40110309200045874e6,920.0,920.0,920.0,,,925.0,,
5da81d657f3e301b4504b6b1,r13,5da6d40110309200045874e6,845.0,845.0,845.0,,,830.0,,
5db80fbed5424ee1f335237f,versace,5da6d40110309200045874e6,522.0,1305.0,522.0,,,660.0,,786.0
5db810c9d5424ee1f3352aa2,salvatore ferragamo,5da6d40110309200045874e6,1477.5,2955.0,1477.5,,,2449.0,,
5da81c8a7861c2af6a5a8532,salvatore ferragamo,5da6d40110309200045874e6,2305.0,2305.0,2305.0,,,,,1383.0
5da821546504fb65da004bde,kassl editions,5da6d40110309200045874e6,1320.0,2200.0,1320.0,,785.0,,,
